Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Cereal production (metric tons),AG.PRD.CREL.MT,Afghanistan,AFG,2705000,1940000,4681020,6379000,6520329,6747979,5816151,5537315,4900051,4140568,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Albania,ALB,897000,565800,701200,697400,702870,700370,695000,698430,701734,678196,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Algeria,DZA,1627035,934656,4247550,5137470,4912551,3435535,3761257,3445225,3478172,6064881,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Angola,AGO,248500,519635,1412826,509545,1674598,1823194,2019275,2423924,2890827,2444745,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Antigua and Barbuda,ATG,50,48,72,70,72,71,72,73,74,75,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Argentina,ARG,19142700,38086960,50670016,47449657,50703913,50874215,55979853,61147070,76396702,70591016,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Armenia,ARM,..,216970,435470,451049,543659,574673,595757,598966,298029,334342,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Australia,AUS,23045332,34446938,39973082,43362426,35589236,38419626,37194952,35229204,50048408,33860883,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Austria,AUT,5289752,4494383,5712207,4883379,4599433,5720309,4853895,5701697,4874849,4813238,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Azerbaijan,AZE,..,1496224,2370823,2707274,2856572,2297996,2898559,2965670,2824527,3181818,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Bahamas, The",BHS,750,312,687,690,691,700,790,841,777,742,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bangladesh,BGD,27746673,39503000,52628364,52801014,54357477,55241123,55438379,54262297,58495624,60817838,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Barbados,BRB,2300,300,269,320,340,81,122,96,74,109,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Belarus,BLR,..,4579256,7996331,8843848,7233152,9033775,8186980,7075658,7529412,5813869,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Belgium,BEL,2119214,2513100,2939102,2957908,3097497,3162852,3163733,2287774,2764392,2483008,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Belize,BLZ,29835,47875,91768,91627,111934,94519,80959,91556,118376,99341,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Benin,BEN,545898,993383,1544233,1576091,1791888,1714040,1643227,1814289,1897504,2315556,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bhutan,BTN,121320,106650,184333,167800,159723,166902,175624,176094,188780,194612,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bolivia,BOL,792648,1244322,1988007,2125543,2503245,2449241,2934919,2660808,2278994,3267425,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bosnia and Herzegovina,BIH,..,930230,1118257,905975,1222498,1082655,1137236,1657556,1167005,1743762,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Botswana,BWA,54430,24576,74024,37457,19366,50249,44184,37798,23470,36284,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Brazil,BRA,32490390,46527202,77586276,89908244,100901726,101402184,106027826,84167849,117979368,103064737,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Brunei Darussalam,BRN,930,299,1480,1756,1237,1382,1983,1579,1527,1569,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bulgaria,BGR,8125944,4388341,7521108,6988023,9153930,9530421,8570299,8752219,9475846,9931999,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Burkina Faso,BFA,1517900,2279247,3666404,4898544,4869722,4469300,4189665,4567066,4063197,4991259,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Burundi,BDI,293300,254735,337662,256889,254054,236310,259806,467773,342669,425802,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Cabo Verde,CPV,11418,24341,5569,6001,5785,1065,8677,5642,4976,3893,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Cambodia,KHM,2588000,4183064,9496000,10241849,10317000,9874000,9735000,10615000,11100000,11251546,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Cameroon,CMR,816296,1275031,2988076,3229408,3197150,3357848,3667036,3963204,4081984,4198483,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Canada,CAN,56806235,51090400,48337200,51839900,66528601,51683501,53563000,58904067,56377700,58095800,..,..
