Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CO2 emissions (kt),EN.ATM.CO2E.KT,Afghanistan,AFG,2960,770,12260,10450,8510,7810,7990,7390,7380,7440,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Albania,ALB,6050,3170,5040,4580,4790,5220,5070,4930,5600,5560,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Algeria,DZA,67890,78590,118140,126640,129910,138810,145970,143350,145100,151670,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Andorra,AND,410,520,490,490,480,460,470,470,470,460,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Angola,AGO,6330,12370,29460,30250,32820,34630,35160,35410,30840,27340,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Antigua and Barbuda,ATG,210,330,510,720,470,480,490,500,500,530,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Argentina,ARG,99840,131910,177260,178530,184000,179910,186090,184280,180120,177410,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Armenia,ARM,19850,3560,4940,5720,5500,5480,5340,5070,5320,5550,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Australia,AUS,263600,338810,385770,385770,379270,369880,375970,383960,387200,386620,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Austria,AUT,58270,63530,68270,65110,65750,61990,63150,63390,65830,63180,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Azerbaijan,AZE,57520,40010,28560,30760,31390,32630,32170,32660,31970,32020,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Bahamas, The",BHS,1780,2140,2420,3640,3110,2620,2370,2190,2150,2260,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bahrain,BHR,10740,15880,26030,26570,28760,30220,30600,30200,30380,30750,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bangladesh,BGD,11520,21650,54420,57990,60580,63800,71690,73740,78710,82760,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Barbados,BRB,980,1240,1670,2210,1480,1290,1290,1310,1200,1250,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belarus,BLR,99850,52990,58350,59790,59930,59470,54890,55210,56240,59310,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belgium,BEL,109310,117280,95570,94960,96610,90160,95200,94320,92770,93470,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belize,BLZ,330,450,640,690,500,490,660,650,650,680,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Benin,BEN,380,1530,4980,4740,5020,5510,5990,7230,7360,7910,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bhutan,BTN,130,370,670,760,850,940,960,1230,1330,1380,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bolivia,BOL,5680,8000,16450,17250,18560,20170,20410,21610,22250,22710,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bosnia and Herzegovina,BIH,23970,13950,23740,21960,21850,19490,19610,22340,22650,22540,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Botswana,BWA,2810,4030,4000,5130,5560,7130,7210,7120,7870,8210,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Brazil,BRA,198260,312670,417120,451760,482860,506780,479970,441910,449840,427710,..,..
